fastqs,sample,library_type
/gstore/scratch/u/sunq17/NGS3783/LIB5443317,LIB5443317_SAM24402043,Antibody Capture
/gstore/scratch/u/sunq17/NGS3783/LIB5443620,LIB5443620_SAM24402043,Gene Expression
